Vernier Format 2
data.cmbl 3/27/2024 19:16:05 .
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/s²

0.7381908	1	0	 	 
0.8447828	0	 	 	 
0.910282	1	0.015	0.117929905238	0.357564124353
0.972482	0	 	 	 
1.0194192	1	0.03	0.155171592456	0.324910544562
1.0683904	0	 	 	 
1.1078916	1	0.045	0.186507982575	0.383477384748
1.1492828	0	 	 	 
1.182582	1	0.06	0.214103003462	0.355440090242
1.218882	0	 	 	 
1.248982	1	0.075	0.238063619773	0.366265220338
1.281882	0	 	 	 
1.3092008	1	0.09	0.258551292654	0.314175867199
1.3393068	0	 	 	 
1.365304	1	0.105	0.277198592746	0.350574096872
1.394282	0	 	 	 
1.417682	1	0.12	0.299212257596	0.489995029465
1.4439012	0	 	 	 
1.4659092	1	0.135	0.318078701981	0.292403467011
1.4909828	0	 	 	 
1.5120872	1	0.15	0.333084830779	0.357521986606
1.5360004	0	 	 	 
1.556082	1	0.165	0.34923393901	0.376615149185
1.5786972	0	 	 	 
1.598082	1	0.18	0.363871179444	0.320396300072
1.6199816	0	 	 	 
1.6385832	1	0.195	0.377628125492	0.358938931835
1.659782	0	 	 	 
1.677582	1	0.21	0.391364794408	0.345527303839
1.69801	0	 	 	 
1.715282	1	0.225	0.404521895692	0.352462154243
1.7349824	0	 	 	 
1.7517824	1	0.24	0.416061166973	0.279819753928
1.7709168	0	 	 	 
1.787408	1	0.255	0.430074936505	0.506904934641
1.805882	0	 	 	 
1.8215968	1	0.27	0.44547327339	0.393877595561
1.8394824	0	 	 	 
1.854782	1	0.285	0.458983122227	0.420331680702
1.872082	0	 	 	 
1.886988	1	0.3	0.468788852928	0.188606448929
1.904182	0	 	 	 
1.918782	1	0.315	0.477109206286	0.33478496814
1.935482	0	 	 	 
1.949882	1	0.33	0.49045448606	0.523432380711
1.9661268	0	 	 	 
1.9799824	1	0.345	0.498800432988	0.0311082185744
1.9960148	0	 	 	 
2.0100264	1	0.36	0.506988482882	0.513962337595
2.0258168	0	 	 	 
2.039182	1	0.375	0.518596660623	0.282329128946
2.0545824	0	 	 	 
